,original_glszm_GrayLevelNonUniformity_dwi,original_gldm_DependenceEntropy_dwi,original_gldm_LargeDependenceLowGrayLevelEmphasis_dwi,log-sigma-1-0-mm-3D_firstorder_10Percentile_dwi,log-sigma-1-0-mm-3D_firstorder_Kurtosis_dwi,original_shape_Flatness_t2,original_shape_Maximum2DDiameterRow_t2,original_shape_SurfaceVolumeRatio_t2,original_firstorder_90Percentile_t2,original_firstorder_InterquartileRange_t2,original_firstorder_Kurtosis_t2,original_glcm_ClusterShade_t2,original_glcm_Idmn_t2,original_glszm_GrayLevelNonUniformityNormalized_t2,original_glszm_SmallAreaHighGrayLevelEmphasis_t2
original_shape_Elongation_dwi,0.01404486392864507,-0.08060481460428937,-0.09981516922295391,0.030239871632513207,0.18304630554053722,0.024062949210712458,-0.14008409146123826,-0.21526065485223392,0.24415368716780037,-0.039061923693259226,0.03271010364920431,0.010424150832483926,0.05319055754831678,0.22990715399710468,-0.09668590335672031
original_shape_Flatness_dwi,-0.12901789746209788,0.30475928406226593,-0.05888911896825036,-0.1399023170395609,-0.03997826762508389,0.6148041643671549,-0.20523412578244515,-0.5001215557041371,-0.024157725043973097,0.1469966162815439,-0.15287877165164282,0.13775821998151336,-0.2705623724798823,0.1331575756467596,-0.09256490774389362
original_shape_MajorAxisLength_dwi,0.6707378291431649,0.3466460122152529,0.26226521546199577,-0.06287418099042479,-0.17572718546168598,-0.2909579066312417,0.46483253749652453,0.2843724932821547,0.04295573421393778,-0.0983088331778635,0.07810646954006531,0.05983058517357891,0.19225015969069237,0.01383884942432587,-0.13736515670209226
original_shape_Maximum2DDiameterColumn_dwi,0.054228026840341635,0.27342481697383964,0.3797110790665845,0.061407789809054966,-0.1712773433884947,-0.27870075467767236,0.5405530243323511,0.2423615625655163,0.24291081041055143,-0.05892421375601195,0.12277317353952298,0.21900598964442286,0.18924398503192713,0.08197605239905252,-0.20761938768509675
original_shape_Maximum3DDiameter_dwi,0.025058959389072467,0.4355749750902669,0.284093837357518,-0.07083754851120552,-0.14384293445941532,-0.250310964861428,0.5054902267019858,0.2122929384763164,0.11497660961461498,-0.0781603375529623,0.06145259641776579,0.12685901193754623,0.18193625608570435,0.08398558943354707,-0.20736709328499273
original_shape_SurfaceArea_dwi,0.018962011177993572,0.6010125023431768,0.2514886573192456,-0.09606035389558785,0.83,-0.009030961555027922,0.4573663734674203,-0.026007913439783037,-0.06351449418573785,-0.07670885024430966,0.04476664184397606,0.2310766080666043,0.13704377950444527,0.20937217477679432,-0.3183525041150396
original_firstorder_Skewness_dwi,0.019302442910176357,-0.17325928628322085,0.14363648992420697,0.41556374559846204,-0.45414520965671384,-0.0370388157683528,0.20001298280537497,0.18406760012658285,0.07233224322798824,0.2897007775317073,-0.1940142128531746,0.06285955239551864,-0.11203015493761247,-0.02551117685949729,0.06398071145191692
original_glcm_Imc1_dwi,0.030732141617489037,0.16282318527056971,0.2487255051597145,0.293494469702699,-0.1365681865160766,-0.10163141594745397,0.5538673413177828,0.09700462905758217,0.1296379380623662,-0.10252553555144077,0.1689307097939705,0.20876080387798482,0.14810114964618995,0.06575161388440326,-0.17012315191577668
original_glcm_SumSquares_dwi,-0.09980351453296606,0.08717728758407671,0.18630046585215668,-0.6517868378085622,-0.25560065152349143,0.38969090398788997,-0.059172182660967715,-0.18996954979747335,-0.11142791083965026,0.09350638639054147,-0.18722583489091385,0.09746682803722136,-0.09319616289531713,0.1874786380506661,-0.21149649816147117
original_glrlm_RunVariance_dwi,0.3273335578854231,-0.26257896928140695,0.88,0.30962205677490373,0.31152517995309,-0.36264986167912033,0.03818975869945803,0.07632895625593053,0.01160763666533791,-0.04234652968688788,0.05407635693228729,-0.10142569920226296,0.19036588791783052,-0.0087424085214466,0.008990062007478384
